Origem,Destino,Tempo,,,,
Tucuruvi,Parada Inglesa,2,,,,
Parada Inglesa,Jardim São Paulo-Ayrton Senna,2,,,,
Jardim São Paulo-Ayrton Senna,Santana,2,,,,
Santana,Carandiru,2,,,,
Carandiru,Portuguesa-Tietê,2,,,,
Portuguesa-Tietê,Armênia,2,,,,
Armênia,Tiradentes,2,,,,
Tiradentes,Luz,2,,,,
Luz,São Bento,2,,,,
São Bento,Sé,2,,,,
Sé,Japão-Liberdade,1,,,,
Japão-Liberdade,São Joaquim,1,,,,
São Joaquim,Vergueiro,2,,,,
Vergueiro,Paraíso,2,,,,
Paraíso,Ana Rosa,1,,,,
Ana Rosa,Vila Mariana,2,,,,
Vila Mariana,Santa Cruz,3,,,,
Santa Cruz,Praça da Árvore,3,,,,
Praça da Árvore,Saúde,2,,,,ia
Saúde,São Judas,1,,,,
São Judas,Conceição,3,,,,
Conceição,Jabaquara,3,,,,
Vila Madalena,S. N. Sra. de Fátima-Sumaré,2,,,,
S. N. Sra. de Fátima-Sumaré,Clínicas,2,,,,
Clínicas,Paulista,2,,,,
Paulista,Consolação,4,,,,
Consolação,Trianon-Masp,2,,,,
Trianon-Masp,Brigadeiro,2,,,,
Brigadeiro,Paraíso,2,,,,
Ana Rosa,Chácara Klabin,4,,,,
Chácara Klabin,Santos-Imigrantes,2,,,,
Santos-Imigrantes,Alto do Ipiranga,2,,,,
Alto do Ipiranga,Sacomã,2,,,,
Sacomã,Tamanduateí,2,,,,
Tamanduateí,Vila Prudente,3,,,,
Palmeiras-Barra Funda,Marechal Deodoro,3,,,,
Marechal Deodoro,Santa Cecília,2,,,,
Santa Cecília,República,2,,,,
República,Anhangabaú,1,,,,
Anhangabaú,Sé,3,,,,
Sé,Pedro II,2,,,,
Pedro II,Brás,3,,,,
Brás,Bresser-Mooca,2,,,,
Bresser-Mooca,Belém,3,,,,
Belém,Tatuapé,3,,,,
Tatuapé,Carrão-Assaí Atacadista,3,,,,
Carrão-Assaí Atacadista,Penha,5,,,,
Penha,Vila Matilde,3,,,,
Vila Matilde,Guilhermina-Esperança,4,,,,
Guilhermina-Esperança,Patriarca-Vila Ré,3,,,,
Patriarca-Vila Ré,Artur Alvim,5,,,,
Artur Alvim,Corinthians Itaquera,4,,,,
Luz,República,2,,,,
República,Higienópolis-Mackenzie,2,,,,
Higienópolis-Mackenzie,Paulista ,2,,,,
Paulista ,Oscar Freire,3,,,,
Oscar Freire,Fradique Coutinho,2,,,,
Fradique Coutinho,Faria Lima,1,,,,
Faria Lima,Pinheiros,1,,,,
Pinheiros,Butantã,1,,,,
Butantã,São Paulo-Morumbi,3,,,,
São Paulo-Morumbi,Vila Sônia,2,,,,
Capão Redondo,Campo Limpo,2,,,,
Campo Limpo,Vila das Belezas,3,,,,
Vila das Belezas,Giovanni Gronchi,2,,,,
Giovanni Gronchi,Santo Amaro,3,,,,
Santo Amaro,Largo Treze,2,,,,
Largo Treze,Adolfo Pinheiro,2,,,,
Adolfo Pinheiro,Alto da Boa Vista,3,,,,
Alto da Boa Vista,Borba Gato,2,,,,
Borba Gato,Brooklin,1,,,,
Brooklin,Campo Belo,2,,,,
Campo Belo,Eucaliptos,3,,,,
Eucaliptos,Moema,3,,,,
Moema,AACD-Servidor,2,,,,
AACD-Servidor,Hospital São Paulo,1,,,,
Hospital São Paulo,Santa Cruz,2,,,,
Santa Cruz,Chácara Klabin,1,,,,
Jundiaí,Várzea Paulista,5,,,,
Várzea Paulista,Campo Limpo Paulista,7,,,,
Campo Limpo Paulista,Botujuru,5,,,,
Botujuru,Francisco Morato,7,,,,
Francisco Morato,Baltazar Fidélis,7,,,,
Baltazar Fidélis,Franco da Rocha,3,,,,
Franco da Rocha,Caieiras,8,,,,
Caieiras,Perus,5,,,,
Vila Aurora,Jaraguá,8,,,,
Jaraguá,Vila Clarice,4,,,,
Vila Clarice,Pirituba,4,,,,
Pirituba,Piqueri,3,,,,
Piqueri,Lapa,3,,,,
Lapa,Água Branca,3,,,,
Água Branca,Palmeiras Barra Funda,5,,,,
Itapevi,Engenheiro Cardoso,2,,,,
Engenheiro Cardoso,Sagrado Coração,2,,,,
Sagrado Coração,Jandira,3,,,,
Jandira,Jardim SIlveira,1,,,,
Jardim SIlveira,Jardim Belval,2,,,,
Jardim Belval,Barueri,4,,,,
Barueri,Antônio João,2,,,,
Antônio João,Santa Terezinha,2,,,,
Santa Terezinha,Carapicuíba,3,,,,
Carapicuíba,Gen. Miguel Costa,3,,,,
Gen. Miguel Costa,Quintaúna,3,,,,
Quintaúna,Com.Sampaio,2,,,,
Com.Sampaio,Osasco,5,,,,
Osasco,Presidente Altino,3,,,,
Presidente Altino,Imperatriz Leopoldina,4,,,,
Imperatriz Leopoldina,Domingos de Moraes,3,,,,
Domingos de Moraes,Palmeiras Barra Funda,9,,,,
Palmeiras Barra Funda,Júlio Prestes,7,,,,
Osasco,Presidente Altino,2,,,,
Presidente Altino,Ceasa,3,,,,
Ceasa,Villa Lobos Jaguaré,2,,,,
Villa Lobos Jaguaré,Cidade Universitária,3,,,,
Cidade Universitária,Pinheiros,5,,,,
Pinheiros,Hebraica Rebouças,6,,,,
Hebraica Rebouças,Cidade Jardim,2,,,,
Cidade Jardim,Vila Olímpia,2,,,,
Vila Olímpia,Berrini,2,,,,
Berrini,Morumbi,2,,,,
Morumbi,Granja Julieta,2,,,,
Granja Julieta,João Dias,4,,,,
João Dias,Santo Amaro,3,,,,
Santo Amaro,Socorro,6,,,,
Socorro,Jurubatuba,2,,,,
Jurubatuba,Autódromo,3,,,,
Autódromo,Primavera Interlargos,3,,,,
Primavera Interlargos,Grajaú,2,,,,
Grajaú,Mendes Vila Natal,2,,,,
Brás,Juventus Mooca,4,,,,
Juventus Mooca,Ipiranga,5,,,,
Ipiranga,Tamanduateí,3,,,,
Tamanduateí,São Caetano do Sul,4,,,,
São Caetano do Sul,Utinga,5,,,,
Utinga,Prefeito Saladino,3,,,,
Prefeito Saladino,Santo André,4,,,,
Santo André,Capuava,6,,,,
Capuava,Mauá,4,,,,
Mauá,Guapituba,6,,,,
Guapituba,Ribeirão Pires,5,,,,
Ribeirão Pires,Rio Grande da Serra,8,,,,
Luz,Brás,3,,,,
Brás,Tatuapé,6,,,,
Tatuapé,Corinthians Itaquera,12,,,,
Corinthians Itaquera,Dom Bosco,4,,,,
Dom Bosco,José Bonifácio,3,,,,
José Bonifácio,Guaianases,3,,,,
Guaianases,Antônio Gianetti Neto,6,,,,
Antônio Gianetti Neto,Ferraz de Vasconcelos,4,,,,
Ferraz de Vasconcelos,Poá,5,,,,
Poá,Calmon Viana,3,,,,
Calmon Viana,Suzano,4,,,,
Suzano,Jundiapeba,9,,,,
Jundiapeba,Braz Cubas,4,,,,
Braz Cubas,Mogi das Cruzes,5,,,,
Mogi das Cruzes,Estudantes,3,,,,
Brás ,Tatupé,8,,,,
Tatupé,Engenheiro Goulart,11,,,,
Engenheiro Goulart,USP Leste,4,,,,
USP Leste,Comendador Ermelino,6,,,,
Comendador Ermelino,São Miguel Paulista,6,,,,
São Miguel Paulista,Jardim Helena Vila Mara,6,,,,
Jardim Helena Vila Mara,Itaim Paulista,6,,,,
Itaim Paulista,Jardim Romano,4,,,,
Jardim Romano,Engenheiro Manoel Feio,4,,,,
Engenheiro Manoel Feio,Itaquaquecetuba,4,,,,
Itaquaquecetuba,Aracaré,4,,,,
Aracaré,Calmon Viana,7,,,,
Engenheiro Goulart,Guarulhos Cecap,12,,,,
Guarulhos Cecap,Aeroporto Guarulhos,5,,,,
Vila Prudente,Oratório,5,,,,
Oratório,São Lucas,5,,,,
São Lucas,Camilo Haddad,3,,,,
Camilo Haddad,Vila Tolstói,4,,,,
Vila Tolstói,Vila União,4,,,,
Vila União,Jardim Planalto,3,,,,
Jardim Planalto,Sapopemba,3,,,,
Sapopemba,Fazenda da Juta,3,,,,
Fazenda da Juta,São Mateus,3,,,,
São Mateus,Jardim Colonial,5,,,,
Parada Inglesa,Tucuruvi,2,,,,
Jardim São Paulo-Ayrton Senna,Parada Inglesa,2,,,,
Santana,Jardim São Paulo-Ayrton Senna,2,,,,
Carandiru,Santana,2,,,,
Portuguesa-Tietê,Carandiru,2,,,,
Armênia,Portuguesa-Tietê,2,,,,
Tiradentes,Armênia,2,,,,
Luz,Tiradentes,2,,,,
São Bento,Luz,2,,,,
Sé,São Bento,2,,,,
Japão-Liberdade,Sé,1,,,,
São Joaquim,Japão-Liberdade,1,,,,
Vergueiro,São Joaquim,2,,,,
Paraíso,Vergueiro,2,,,,
Vila Mariana,Ana Rosa,2,,,,
Santa Cruz,Vila Mariana,3,,,,
Praça da Árvore,Santa Cruz,3,,,,
Saúde,Praça da Árvore,2,,,,
São Judas,Saúde,1,,,,
Conceição,São Judas,3,,,,
Jabaquara,Conceição,3,,,,
S. N. Sra. de Fátima-Sumaré,Vila Madalena,2,,,,
Clínicas,S. N. Sra. de Fátima-Sumaré,2,,,,
Paulista,Clínicas,2,,,,
Consolação,Paulista,4,,,,
Trianon-Masp,Consolação,2,,,,
Brigadeiro,Trianon-Masp,2,,,,
Paraíso,Brigadeiro,2,,,,
Ana Rosa,Paraíso,4,,,,
Chácara Klabin,Ana Rosa,4,,,,
Santos-Imigrantes,Chácara Klabin,2,,,,
Alto do Ipiranga,Santos-Imigrantes,2,,,,
Sacomã,Alto do Ipiranga,2,,,,
Tamanduateí,Sacomã,2,,,,
Vila Prudente,Tamanduateí,3,,,,
Marechal Deodoro,Palmeiras-Barra Funda,3,,,,
Santa Cecília,Marechal Deodoro,2,,,,
República,Santa Cecília,2,,,,
Anhangabaú,República,1,,,,
Sé,Anhangabaú,3,,,,
Pedro II,Sé,2,,,,
Brás,Pedro II,3,,,,
Bresser-Mooca,Brás,2,,,,
Belém,Bresser-Mooca,3,,,,
Tatuapé,Belém,3,,,,
Carrão-Assaí Atacadista,Tatuapé,3,,,,
Penha,Carrão-Assaí Atacadista,5,,,,
Vila Matilde,Penha,3,,,,
Guilhermina-Esperança,Vila Matilde,4,,,,
Patriarca-Vila Ré,Guilhermina-Esperança,3,,,,
Artur Alvim,Patriarca-Vila Ré,5,,,,
Corinthians Itaquera,Artur Alvim,4,,,,
República,Luz,2,,,,
Higienópolis-Mackenzie,República,2,,,,
Paulista ,Higienópolis-Mackenzie,2,,,,
Oscar Freire,Paulista ,3,,,,
Fradique Coutinho,Oscar Freire,2,,,,
Faria Lima,Fradique Coutinho,1,,,,
Pinheiros,Faria Lima,1,,,,
Butantã,Pinheiros,1,,,,
São Paulo-Morumbi,Butantã,3,,,,
Vila Sônia,São Paulo-Morumbi,2,,,,
Campo Limpo,Capão Redondo,2,,,,
Vila das Belezas,Campo Limpo,3,,,,
Giovanni Gronchi,Vila das Belezas,2,,,,
Santo Amaro,Giovanni Gronchi,3,,,,
Largo Treze,Santo Amaro,2,,,,
Adolfo Pinheiro,Largo Treze,2,,,,
Alto da Boa Vista,Adolfo Pinheiro,3,,,,
Borba Gato,Alto da Boa Vista,2,,,,
Brooklin,Borba Gato,1,,,,
Campo Belo,Brooklin,2,,,,
Eucaliptos,Campo Belo,3,,,,
Moema,Eucaliptos,3,,,,
AACD-Servidor,Moema,2,,,,
Hospital São Paulo,AACD-Servidor,1,,,,
Santa Cruz,Hospital São Paulo,2,,,,
Chácara Klabin,Santa Cruz,1,,,,
Várzea Paulista,Jundiaí,5,,,,
Campo Limpo Paulista,Várzea Paulista,7,,,,
Botujuru,Campo Limpo Paulista,5,,,,
Francisco Morato,Botujuru,7,,,,
Baltazar Fidélis,Francisco Morato,7,,,,
Franco da Rocha,Baltazar Fidélis,3,,,,
Caieiras,Franco da Rocha,8,,,,
Perus,Caieiras,5,,,,
Jaraguá,Vila Aurora,8,,,,
Vila Clarice,Jaraguá,4,,,,
Pirituba,Vila Clarice,4,,,,
Piqueri,Pirituba,3,,,,
Lapa,Piqueri,3,,,,
Água Branca,Lapa,3,,,,
Palmeiras Barra Funda,Água Branca,5,,,,
Engenheiro Cardoso,Itapevi,2,,,,
Sagrado Coração,Engenheiro Cardoso,2,,,,
Jandira,Sagrado Coração,3,,,,
Jardim SIlveira,Jandira,1,,,,
Jardim Belval,Jardim SIlveira,2,,,,
Barueri,Jardim Belval,4,,,,
Antônio João,Barueri,2,,,,
Santa Terezinha,Antônio João,2,,,,
Carapicuíba,Santa Terezinha,3,,,,
Gen. Miguel Costa,Carapicuíba,3,,,,
Quintaúna,Gen. Miguel Costa,3,,,,
Com.Sampaio,Quintaúna,2,,,,
Osasco,Com.Sampaio,5,,,,
Presidente Altino,Osasco,3,,,,
Imperatriz Leopoldina,Presidente Altino,4,,,,
Domingos de Moraes,Imperatriz Leopoldina,3,,,,
Palmeiras Barra Funda,Domingos de Moraes,9,,,,
Júlio Prestes,Palmeiras Barra Funda,7,,,,
Presidente Altino,Osasco,2,,,,
Ceasa,Presidente Altino,3,,,,
Villa Lobos Jaguaré,Ceasa,2,,,,
Cidade Universitária,Villa Lobos Jaguaré,3,,,,
Pinheiros,Cidade Universitária,5,,,,
Hebraica Rebouças,Pinheiros,6,,,,
Cidade Jardim,Hebraica Rebouças,2,,,,
Vila Olímpia,Cidade Jardim,2,,,,
Berrini,Vila Olímpia,2,,,,
Morumbi,Berrini,2,,,,
Granja Julieta,Morumbi,2,,,,
João Dias,Granja Julieta,4,,,,
Santo Amaro,João Dias,3,,,,
Socorro,Santo Amaro,6,,,,
Jurubatuba,Socorro,2,,,,
Autódromo,Jurubatuba,3,,,,
Primavera Interlargos,Autódromo,3,,,,
Grajaú,Primavera Interlargos,2,,,,
Mendes Vila Natal,Grajaú,2,,,,
Juventus Mooca,Brás,4,,,,
Ipiranga,Juventus Mooca,5,,,,
Tamanduateí,Ipiranga,3,,,,
São Caetano do Sul,Tamanduateí,4,,,,
Utinga,São Caetano do Sul,5,,,,
Prefeito Saladino,Utinga,3,,,,
Santo André,Prefeito Saladino,4,,,,
Capuava,Santo André,6,,,,
Mauá,Capuava,4,,,,
Guapituba,Mauá,6,,,,
Ribeirão Pires,Guapituba,5,,,,
Rio Grande da Serra,Ribeirão Pires,8,,,,
Brás,Luz,3,,,,
Tatuapé,Brás,6,,,,
Corinthians Itaquera,Tatuapé,12,,,,
Dom Bosco,Corinthians Itaquera,4,,,,
José Bonifácio,Dom Bosco,3,,,,
Guaianases,José Bonifácio,3,,,,
Antônio Gianetti Neto,Guaianases,6,,,,
Ferraz de Vasconcelos,Antônio Gianetti Neto,4,,,,
Poá,Ferraz de Vasconcelos,5,,,,
Calmon Viana,Poá,3,,,,
Suzano,Calmon Viana,4,,,,
Jundiapeba,Suzano,9,,,,
Braz Cubas,Jundiapeba,4,,,,
Mogi das Cruzes,Braz Cubas,5,,,,
Estudantes,Mogi das Cruzes,3,,,,
Tatupé,Brás ,8,,,,
Engenheiro Goulart,Tatupé,11,,,,
USP Leste,Engenheiro Goulart,4,,,,
Comendador Ermelino,USP Leste,6,,,,
São Miguel Paulista,Comendador Ermelino,6,,,,
Jardim Helena Vila Mara,São Miguel Paulista,6,,,,
Itaim Paulista,Jardim Helena Vila Mara,6,,,,
Jardim Romano,Itaim Paulista,4,,,,
Engenheiro Manoel Feio,Jardim Romano,4,,,,
Itaquaquecetuba,Engenheiro Manoel Feio,4,,,,
Aracaré,Itaquaquecetuba,4,,,,
Calmon Viana,Aracaré,7,,,,
Guarulhos Cecap,Engenheiro Goulart,12,,,,
Aeroporto Guarulhos,Guarulhos Cecap,5,,,,
Oratório,Vila Prudente,5,,,,
São Lucas,Oratório,5,,,,
Camilo Haddad,São Lucas,3,,,,
Vila Tolstói,Camilo Haddad,4,,,,
Vila União,Vila Tolstói,4,,,,
Jardim Planalto,Vila União,3,,,,
Sapopemba,Jardim Planalto,3,,,,
Fazenda da Juta,Sapopemba,3,,,,
São Mateus,Fazenda da Juta,3,,,,
Jardim Colonial,São Mateus,5,,,,
Clínicas,Consolação,2,,,,
Perus,Vila Aurora,5,,,,
Vila Aurora,Perus,5,,,,
Tatuapé,Engenheiro Goulart,10,,,,